Age,Cut_Score,Form
0,#N/A,Too Young
1,13,SWYC : 02 Month
2,13,SWYC : 02 Month
3,16,SWYC : 02 Month
4,13,SWYC : 04 Month
5,15,SWYC : 04 Month
6,11,SWYC : 06 Month
7,14,SWYC : 06 Month
8,16,SWYC : 06 Month
9,11,SWYC : 09 Month
10,13,SWYC : 09 Month
11,14,SWYC : 09 Month
12,12,SWYC : 12 Month
13,13,SWYC : 12 Month
14,14,SWYC : 12 Month
15,10,SWYC : 15 Month
16,12,SWYC : 15 Month
17,13,SWYC : 15 Month
18,8,SWYC : 18 Month
19,10,SWYC : 18 Month
20,11,SWYC : 18 Month
21,13,SWYC : 18 Month
22,14,SWYC : 18 Month
23,10,SWYC : 24 Month
24,11,SWYC : 24 Month
25,12,SWYC : 24 Month
26,13,SWYC : 24 Month
27,14,SWYC : 24 Month
28,15,SWYC : 24 Month
29,9,SWYC : 30 Month
30,10,SWYC : 30 Month
31,11,SWYC : 30 Month
32,12,SWYC : 30 Month
33,13,SWYC : 30 Month
34,13,SWYC : 30 Month
35,10,SWYC : 36 Month
36,11,SWYC : 36 Month
37,12,SWYC : 36 Month
38,13,SWYC : 36 Month
39,13,SWYC : 36 Month
40,14,SWYC : 36 Month
41,14,SWYC : 36 Month
42,15,SWYC : 36 Month
43,15,SWYC : 36 Month
44,16,SWYC : 36 Month
45,16,SWYC : 36 Month
46,16,SWYC : 36 Month
47,12,SWYC : 48 Month
48,13,SWYC : 48 Month
49,13,SWYC : 48 Month
50,13,SWYC : 48 Month
51,14,SWYC : 48 Month
52,14,SWYC : 48 Month
53,14,SWYC : 48 Month
54,15,SWYC : 48 Month
55,15,SWYC : 48 Month
56,15,SWYC : 48 Month
57,15,SWYC : 48 Month
58,16,SWYC : 48 Month
59,14,SWYC : 60 Month
60,14,SWYC : 60 Month
61,15,SWYC : 60 Month
62,15,SWYC : 60 Month
63,15,SWYC : 60 Month
64,15,SWYC : 60 Month
65,16,SWYC : 60 Month
66,#N/A,Too Old
67,#N/A,Too Old
68,#N/A,Too Old
69,#N/A,Too Old
70,#N/A,Too Old
71,#N/A,Too Old
72,#N/A,Too Old
73,#N/A,Too Old
74,#N/A,Too Old
75,#N/A,Too Old
76,#N/A,Too Old
77,#N/A,Too Old
78,#N/A,Too Old
79,#N/A,Too Old
80,#N/A,Too Old
81,#N/A,Too Old
82,#N/A,Too Old
83,#N/A,Too Old
84,#N/A,Too Old
85,#N/A,Too Old
86,#N/A,Too Old
87,#N/A,Too Old
88,#N/A,Too Old
89,#N/A,Too Old
90,#N/A,Too Old
91,#N/A,Too Old
92,#N/A,Too Old
93,#N/A,Too Old
94,#N/A,Too Old
95,#N/A,Too Old
96,#N/A,Too Old
97,#N/A,Too Old
98,#N/A,Too Old
99,#N/A,Too Old
100,#N/A,Too Old
101,#N/A,Too Old
102,#N/A,Too Old
103,#N/A,Too Old
104,#N/A,Too Old
105,#N/A,Too Old
106,#N/A,Too Old
107,#N/A,Too Old
108,#N/A,Too Old
109,#N/A,Too Old
110,#N/A,Too Old
111,#N/A,Too Old
112,#N/A,Too Old
113,#N/A,Too Old
114,#N/A,Too Old
115,#N/A,Too Old
116,#N/A,Too Old
117,#N/A,Too Old
118,#N/A,Too Old
119,#N/A,Too Old
120,#N/A,Too Old
121,#N/A,Too Old
122,#N/A,Too Old
123,#N/A,Too Old
124,#N/A,Too Old
125,#N/A,Too Old
126,#N/A,Too Old
127,#N/A,Too Old
128,#N/A,Too Old
129,#N/A,Too Old
130,#N/A,Too Old
131,#N/A,Too Old
132,#N/A,Too Old
133,#N/A,Too Old
134,#N/A,Too Old
135,#N/A,Too Old
136,#N/A,Too Old
137,#N/A,Too Old
138,#N/A,Too Old
139,#N/A,Too Old
140,#N/A,Too Old
141,#N/A,Too Old
142,#N/A,Too Old
143,#N/A,Too Old
144,#N/A,Too Old
145,#N/A,Too Old
146,#N/A,Too Old
147,#N/A,Too Old
148,#N/A,Too Old
149,#N/A,Too Old
150,#N/A,Too Old
151,#N/A,Too Old
152,#N/A,Too Old
153,#N/A,Too Old
154,#N/A,Too Old
155,#N/A,Too Old
156,#N/A,Too Old
157,#N/A,Too Old
158,#N/A,Too Old
159,#N/A,Too Old
160,#N/A,Too Old
161,#N/A,Too Old
162,#N/A,Too Old
163,#N/A,Too Old
164,#N/A,Too Old
165,#N/A,Too Old
166,#N/A,Too Old
167,#N/A,Too Old
168,#N/A,Too Old
169,#N/A,Too Old
170,#N/A,Too Old
171,#N/A,Too Old
172,#N/A,Too Old
173,#N/A,Too Old
174,#N/A,Too Old
175,#N/A,Too Old
176,#N/A,Too Old
177,#N/A,Too Old
178,#N/A,Too Old
179,#N/A,Too Old
180,#N/A,Too Old
