SWYC Milestone question,beta,alpha1,alpha2,SWYC Milestone Text
1,2.321,-0.89,0.442,
2,5.995,-0.299,1.478,
3,3.982,-2,1.444,
4,3.324,-1.32,2.033,
5,2.874,-0.371,2.454,Holds head steady when being pulled up to a sitting position
6,2.284,0.099,2.081,Brings hands together
7,3.723,1.121,3.478,Laughs
8,2.936,0.107,3.027,Keeps head steady when held in a sitting position
9,3.252,3.832,5.761,"Makes sounds like ""ga"", ""ma"", or ""ba"""
10,3.304,2.433,5.39,Looks when you call his or her name
11,4.951,5.63,7.87,Rolls over
12,5.325,5.839,8.421,Passes a toy from one hand to the other
13,3.167,2.73,4.246,Looks for you or another caregiver when upset
14,6.422,10.066,12.27,Holds two objects and bangs them together
15,6.927,11.792,14.444,Holds up arms to be picked up
16,13.128,26.072,27.586,Gets to a sitting position by him or herself
17,8.013,14.945,16.539,Picks up food and eats it
18,11.014,22.576,23.847,Pulls up to standing
19,4.943,8.762,10.92,"Plays games like ""peek-a-boo"" or ""pat-a-cake"""
20,3.744,7.02,8.662,"Calls you ""mama"" or ""dada"" or similar name"
21,5.275,10.118,12.248,"Looks around when you say things like ""Where’s your bottle?"" or ""Where’s your blanket?"""
22,3.045,4.169,6.944,Copies sounds that you make
23,17.434,43.624,44.584,Walks across a room without help
24,8.305,17.985,21.021,"Follows directions - like ""Come here"" or ""Give me the ball"""
25,11.003,28.189,30.054,Runs
26,8.178,20.439,22.098,Walks up stairs with help
27,6.764,17.154,19.429,Kicks a ball
28,13.062,35.165,37.099,Names at least 5 familiar objects - like ball or milk
29,11.159,31.145,33.159,"Names at least 5 body parts - like nose, hand, or tummy"
30,5.011,13.172,14.698,Climbs up a ladder at a playground
31,11.872,33.808,35.352,"Uses words like ""me"" or ""mine"""
32,5.642,15.527,17.064,Jumps off the ground with two feet
33,17.539,50.36,53.098,"Puts 2 or more words together - like ""more water"" or ""go outside"""
34,14.092,39.736,42.653,Uses words to ask for help
35,8.037,23.73,25.267,Names at least one color
36,12.817,38.521,40.546,"Tries to get you to watch by saying ""Look at me"""
37,10.902,33.215,34.936,Says his or her first name when asked
38,4.562,11.964,14.166,Draws lines
39,10.975,34.45,37.133,Talks so other people can understand him or her most of the time
40,9.181,27.025,30.016,Washes and dries hands without help (even if you turn on the water)
41,7.047,20.663,22.919,"Asks questions beginning with ""why"" or ""how"" -  like ""Why no cookie?"""
42,12.368,38.834,41.17,"Explains the reasons for things, like needing a sweater when it’s cold"
43,12.788,40.165,42.928,"Compares things - using words like ""bigger"" or ""shorter"""
44,11.293,35.84,38.546,"Answers questions like ""What do you do when you are cold?"" or ""...when you are sleepy?"""
45,9.724,31.063,33.472,Tells you a story from a book or tv
46,6.671,21.24,23.991,Draws simple shapes - like a circle or a square
47,5.917,18.906,21.613,"Says words like ""feet"" for more than one foot and ""men"" for more than one man"
48,6.402,20.994,23.481,"Uses words like ""yesterday"" and ""tomorrow"" correctly"
49,3.811,12.265,13.47,Stays dry all night
50,7.225,23.788,26.959,Follows simple rules when playing a board game or card game
51,7.394,27.054,28.815,Prints his or her name
52,8.873,30.985,34.311,Draws pictures you recognize
53,7.555,27.088,29.588,Stays in the lines when coloring
54,5.656,20.615,22.257,Names the days of the week in the correct order
